Q,A,RAG
"What is the name of the character who often says, “Oh my God, they killed Kenny!”",Stan Marsh.,"
data/scripts/It's_Christmas_in_Canada.md Kenny : (Aah!) [Kenny explodes and pieces of him splatter all over the boys]

Stan : Oh my God, they've killed Kenny!
data/scripts/Fat_Camp.md a tight virgin flower. Stan : [pointing] Oh my God, they've killed Kenny! ...Sort of. Kyle : Yeah. They've kinda killed Kenny -'s look-alike. You bastards! Announcer : Well, he gave his life for our amusement. One little boy who dared to be different. Let us never forget... Kenny McCormick. [Ms.
data/scripts/Death.md Kyle : Oh my God, they killed Kenny. You Bastard!!!

Stan : Wow, I guess Death was just coming after Kenny the whole time.

Grandpa : Hey, you were supposed to kill me!

Death : Mrrr.

Grandpa : That's not fair, Goddammit! My grandpa asked me to kill him and I did it.
data/scripts/Cherokee_Hair_Tampons.md Stan : Nobody wants to listen, Kenny.

Kenny : (I know.)

Stan : I don't know what else to do. I mean, he could die, Kenny. And that means we'd never see him again.

Kenny : (Uh huh.)
data/scripts/Chickenlover.md Kenny : (Daaarrrggghh--)

Scene Description : Kenny flies into the brick wall at the other end of the yard.

Kenny : (-ooggghhh...)

Stan : Oh, my God! They've killed--

Kenny : (Hey.)

Stan : Oh, never mind. [Smiles.]

Mayor McDaniels : Well, how's the reading coming along?
data/scripts/Do_the_Handicapped_Go_to_Hell?.md Stan : Uh, come on, let's go. [the kids begin to cross the street, Kenny first, but...]

Kenny : (Yow!) [a tour bus slams into Kenny and takes him away. The other kids freeze where they are, petrified]

Stan : [finally reacts, shrilly] ...Oh my God, they've killed Kenny!
data/scripts/Ike's_Wee_Wee.md Stan : Oh my God, they've killed Kenny!

Kyle : [Flatly] You bastards.

Scene Description : Kyle keeps walking. The crowds reconvenes, this time for Kenny's funeral.

Father Maxi : [Removes kippah and scarf.] ""Yea, let us ponder the Lord's mercy. Ashes to ashes, dust to dust.""
data/scripts/Damien.md Scene Description : Kenny is highlighted.

Jimbo : Ih-it's comin' right for us!

Scene Description : Jimbo pulls out a semi-automatic and fires away at Kenny. Kenny is soon on the floor with his head blown off.

Stan : Oh my God, they killed Kenny.

Kyle : You bastard!
data/scripts/Cartman's_Silly_Hate_Crime_2000.md Kenny : (Huh? Uh.) [the sled hits a rock, tossing him through the air] (AAAAAA!) [slams into a tree and sticks] (Ufff!) [the brick rider slams into him, killing him] (Ugh!)

Stan : [looks up] Ooh, my God, we killed Kenny.

Kyle : We killed Kenny?
data/scripts/The_Mexican_Staring_Frog_of_Southern_Sri_Lanka.md Scene Description : Kenny begins crying.

Kenny : [Sobbing.] (OW! OW! DUDE, PLEASE STOP!! OH, FUCK! YIKES!!!!!)

Scene Description : The 3 men, Stan, & Kyle gasp in horror to see what happened.

Stan : Oh, my God! They've killed Kenny!

Kyle : You bastards!"
Which character is known for his catchphrase “Respect my authority”?,Eric Cartman.,"
data/scripts/Stunning_and_Brave.md Cartman : Oh God!

PC Principal : You dare to use words that alienate two communities of people who have to deal with verbal biases like yours on a daily basis?! [beats him up some more. The other boys leave the window and walk away.]
data/scripts/PC_Principal_Final_Justice.md PC Principal : Alright everyone, listen up. I don't know about you, but I for one am sick and tired of hate speech that serves to marginalize others.

Russian 1 : [balding, with facial stubble] Is it him?

Russian 2 : [with mustache] Yes, it's him. PC Principal.
data/scripts/Buddha_Box.md Scene Description : The Principal's office. Cartman has earned a trip there for calling his teacher a ""dumb bitch""

PC Principal : I don't know what makes you think you're different from everyone else, but nobody gets away with slandering teachers at this school!
data/scripts/PC_Principal_Final_Justice.md PC Principal : Alright everyone, listen up. I don't know about you, but I for one am sick and tired of hate speech that serves to marginalize others. Russian 1 : [balding, with facial stubble] Is it him? Russian 2 : [with mustache] Yes, it's him. PC Principal. PC Principal : [walks up to the bar
data/scripts/SUPER_HARD_PCness.md really respect her. PC Principal : Do you know, uh, [begins to fumble on his words] Do you know if Strong Woman has a boyfriend? Mr. Mackey : What?? PC Principal : No-nothing. Just forget it. [leaves his desk and walks towards the door] Mr. Mackey : Are you out of your fuckin' mind?! Askin' if a
data/scripts/Buddha_Box.md PC Principal : I'm not Harvey Weinstein, all right?! I have nothing but respect for females at my workplace, and I would never compromise that position!
data/scripts/Board_Girls.md PC Principal : I, I-I don't know why she has such a grudge against you, and I-

Strong Woman : Because I know her.

PC Principal : [jaw drops] What do you mean?

Strong Woman : It's Blade Jaggart. He - she - is my ex-boyfriend.

PC Principal : ... What?
data/scripts/Stunning_and_Brave.md bro! [now the boys are afraid of the next move] Cartman : Oh-kay. Look, you don't want to end up like the spokesman for Subway, so you? PC Principal : Did you just use a term that excludes women from an occupation?! [picks Cartman up...] Cartman : Okay, let's back up. [...and slams him against the
data/scripts/Where_My_Country_Gone?.md Mr. Garrsion : What?!

Mr. Mackey : [bowing profusely] Yes, PC Principal! R-right away! M'kay?

PC Principal : You're on thin ice, Garrison! Get in line or you'll be out of a job, bro!
data/scripts/Stunning_and_Brave.md sports a goatee, a hint of a mustache, and Oakley sunglasses. He swallows the last of the drink and throws the bottle off to one side] PC Principal : Alright, listen up. My name is PC Principal. I don't know about you, but frankly I'm sick and tired of how minority groups are marginalized in"
What is the name of Stan’s dog?,Sparky.,"
data/scripts/Big_Gay_Al's_Big_Gay_Boat_Ride.md back to study the situation, then... Stan : He's just confused. Kyle : I think the other dog's the one that's confused. Kenny : (No, check his penis.) Scene Description : Kyle smiles. Stan : Sick, shut up dude! Scene Description : Sparky pants happily while Sylvester slinks away. Cartman : Stan's
data/scripts/Big_Gay_Al's_Big_Gay_Boat_Ride.md Stan : That's my new dog Sparky. He followed me to the bus stop.

Kyle : Wow! Cool!

Stan : Good boy, Sparky. Who's my best buddy? Who's your boy? Who's your buddy?

Cartman : Eh. You're making me sick, dude.

Stan : He's part Doberman and part wolf. He's the toughest dog on the mountain.
data/scripts/The_Cissy.md Scene Description : South Park Elementary, later. Stan is at his locker

Cartman : [runs up to Stan] Dude! You need to put a tighter leash on your dog!

Stan : [surprised] What?
data/scripts/Ike's_Wee_Wee.md Scene Description : Stan's hand is up.

Mr. Mackey : Yes, Stan?

Stan : Why do dogs have cold noses?

Scene Description : Stan points to the center of his face, where his nose should be.

Mr. Mackey : Uhhh, well, I'm not sure.

Stan : Oh.
data/scripts/Are_You_There_God?_It's_Me,_Jesus.md Stan : What do you mean?
data/scripts/ManBearPig.md Stan : Who?
data/scripts/Big_Gay_Al's_Big_Gay_Boat_Ride.md that? Stan : That's my new dog Sparky. He followed me to the bus stop. Kyle : Wow! Cool! Stan : Good boy, Sparky. Who's my best buddy? Who's your boy? Who's your buddy? Cartman : Eh. You're making me sick, dude. Stan : He's part Doberman and part wolf. He's the toughest dog on the mountain. Cartman
data/scripts/Douche_and_Turd.md Stan : Awww!

Blonde PETA member 2 : Come, you can live with us.

Bearded PETA member : We will give you food and shelter.

Stan : What about me?
data/scripts/Whale_Whores.md Stan : Ummm, where did you get that picture?
data/scripts/Douche_and_Turd.md Stan : What about me?

Bearded PETA member : Open the gate! [A pair of gates open up to the PETA compound. The members lead the horse in and Stan trails along. They approach whom looks to be the leader of the compound. The compound itself has all kinds of animals - it's an animal sanctuary]"
What is the name of the mayor of South Park?,Mayor McDaniels.,"
data/scripts/The_City_Part_of_Town.md : South Park City Hall, day, the Mayor's office. Mayor McDaniels : I've called you all here because South Park has an image problem. Thanks to Mr. Garrison we are now being referred to as the shit-heads of America. One of our more politically sensitive citizens has proposed an idea for this crisis
data/scripts/Weight_Gain_4000.md Hall. Mayor's Office. Mayor McDaniels : Kathie Lee Gifford in South Park! Oh my God! This is our chance to make a name for ourselves; to show that we're not just some piss-ant white-bread mountain town. Ted : Better yet, it's a chance for you to get some publicity. Mayor McDaniels : Yes! If I can
data/scripts/Die_Hippie,_Die.md Cartman : Please, I have to talk to you all right now! Mayor McDaniels : Kid, we're have a city council meeting. Cartman : Mayor, something very big is happening, and if you all don't give me a moment of your time, there may be no more South Park to council over! Randy : [Secretary of Parks and
data/scripts/The_City_Part_of_Town.md Mayor McDaniels : I've called you all here because South Park has an image problem. Thanks to Mr. Garrison we are now being referred to as the shit-heads of America. One of our more politically sensitive citizens has proposed an idea for this crisis and I'd like you to hear him out.
data/scripts/The_City_Part_of_Town.md white town called South Park, Colorado. Or Shit-heads of America, Incorporated, I'm not sure. Yeah, if this guy is the best their town has to offer, can you imagine who he left behind? [affecting a hick accent] ""Oh hey, I'm from South Park! We don't take kindly to respecting human beings!"" [a shot
data/scripts/The_Problem_with_a_Poo.md Mr. Waithouse : What did you mean last night when you tweeted, ""The Mayor of South Park is a titless whore""? [Kyle's jaw drops and his head falls forward on the table]
data/scripts/Hooked_on_Monkey_Fonics.md Mayor : Congratulations, Mark and Rebecca. [hand them their trophies] You are truly South Park's finest. [a print photographer takes a picture]

Stan : [standing before the stage with Cartman and Kenny] Damn, dude. Those home-schooled kids are smart.
data/scripts/Weight_Gain_4000.md Description : Mr. Garrison's Classroom, later in the day. The Mayor is now there. Mayor McDaniels : Children, as you all know, Miss Kathie Lee Gifford will be in South Park to present the award to some kid for an essay. Cartman : That kid is me. Mayor McDaniels : Whatever. Now, I'm going to have
data/scripts/Weight_Gain_4000.md Scene Description : Mr. Garrison's Classroom, later in the day. The Mayor is now there.

Mayor McDaniels : Children, as you all know, Miss Kathie Lee Gifford will be in South Park to present the award to some kid for an essay.

Cartman : That kid is me.
data/scripts/Red_Man's_Greed.md next day. A town meeting is being held in the gym. Mayor McDaniels sits at a table with four aides, two on either side of her. Mayor McDaniels : And that's really all I can tell you. The town of South Park is going to be leveled, in order to make way for a twelve-lane superhighway. Randy : [rises]"
What is the name of Kyle’s younger brother?,Ike.,"
data/scripts/Ike's_Wee_Wee.md Gerald : Kyle, just because Ike is adopted doesn't make him any less your brother.

Kyle : Yeah, right.

Scene Description : Sheila puts down a bench she was looking under as a clerk approaches.

Sheila : Excuse me, we're looking for a two-year-old Canadian boy.
data/scripts/The_Jeffersons.md Kyle : So, dude, do you have any brothers or sisters?

Blanket : I have a half-brother and a half-sister. But they live with their mom now.

Scene Description : Kyle wipes Blanket's knee some more, then dabs some more alcohol onto the towel.

Kyle : And where is your mom?
data/scripts/Ike's_Wee_Wee.md Kyle!"", ""Take care of your little brother, Kyle"", and he wasn't even really my little brother. Gerald : Kyle, just because Ike is adopted doesn't make him any less your brother. Kyle : Yeah, right. Scene Description : Sheila puts down a bench she was looking under as a clerk approaches. Sheila :
data/scripts/South_ParQ_Vaccination_Special.md Kyle : Dad, please don't-
data/scripts/Ginger_Cow.md Kyle : About what?!
data/scripts/The_Jeffersons.md a half-brother and a half-sister. But they live with their mom now. Scene Description : Kyle wipes Blanket's knee some more, then dabs some more alcohol onto the towel. Kyle : And where is your mom? Blanket : I don't have a mom. Kyle : You must have a mom. Scene Description : Kyle wipes Blanket's
data/scripts/South_ParQ_Vaccination_Special.md Kyle : What?
data/scripts/A_Song_of_Ass_and_Fire.md Kyle : What?
data/scripts/Cartman_Gets_an_Anal_Probe.md Kyle : Vi, Visitors, this morning you took my brother, Ike. He's the little freckled kid that looks like a football. At first, I was happy you took him away. But I've learned something today. That having a little brother... i- is a pretty special thing.

Stan : Yeah.
data/scripts/Bass_to_Mouth.md Kyle : What the hell happened?!"
What is the name of Cartman’s mom?,Liane Cartman.,"
data/scripts/Dead_Kids.md Cartman : What do you mean?
data/scripts/Obama_Wins!.md Scene Description : North Carolina, 12:18 pm Eastern (or 10:18 am Mountain, for reference). At the Charlotte Community Center, Cartman runs in, still in costume

Cartman : Mom? Where's my mom?

Charlotte poll worker : Oh dear. Did you lose your mommy, little boy?
data/scripts/Cartman's_Mom_is_Still_a_Dirty_Slut.md Liane : I just thought, maybe it would be a little shocking to you.

Cartman : Oh, wow, gee whiz, you think so, Mom?!

Mephesto : Well, that's that. Thank you all for playing.

Cartman : No no, wait a minute! If... if she's my dad, then... who's my mom?!
data/scripts/Cartman's_Mom_is_Still_a_Dirty_Slut.md Cartman : No no, wait a minute! If... if she's my dad, then... who's my mom?!

Announcer 1 : Who is Eric Cartman's mother? Is it Mrs. Crabtree? Sheila Broflovski? The Mayor?

Cartman : Ooohhh, forget it!
data/scripts/Go_God_Go_XII.md Cartman : What?? Who the hell is this?!

Time Child : It's me.

Cartman : Me who?!

Time Child : Me you!

Cartman : What?!
data/scripts/The_Poor_Kid.md Cartman : Really?

Boy 2 : Yeah, dude. His dad died five years ago and his mom went crazy from depression, so she can't even keep a job.
data/scripts/City_on_the_Edge_of_Forever_(Flashbacks).md cream. Scene Description : Cartman looks up lovingly at his purported father, and they walk away. Curiously, Liane Cartman is left behind. Cartman : Now, that's what I call a sti- Kyle : Wait a minute. I though your father was your mother 'cause she had a penis. Cartman : What?! Eeyy, you son of a
data/scripts/Cartman's_Mom_is_Still_a_Dirty_Slut.md whiz, you think so, Mom?! Mephesto : Well, that's that. Thank you all for playing. Cartman : No no, wait a minute! If... if she's my dad, then... who's my mom?! Announcer 1 : Who is Eric Cartman's mother? Is it Mrs. Crabtree? Sheila Broflovski? The Mayor? Cartman : Ooohhh, forget it!
data/scripts/Tsst.md Cartman : Well nice goin', asshole! You made my mom cry!

Liane : It's not him, it's you, Eric. [Cartman's anger vanishes] I don't know what to do with you.

Cartman : Sure you do. You're a great mom.Who's got the greatest mom in the world?I dooo.My mom is number one in my heart.It's true!
data/scripts/Obama_Wins!.md Scene Description : North Carolina, 12:18 pm Eastern (or 10:18 am Mountain, for reference). At the Charlotte Community Center, Cartman runs in, still in costume Cartman : Mom? Where's my mom? Charlotte poll worker : Oh dear. Did you lose your mommy, little boy? Scene Description : a Jetstream Air"
Who is the father of Stan Marsh?,Randy Marsh.,"
data/scripts/ManBearPig.md Stan : Who?
data/scripts/Something_You_Can_Do_with_Your_Finger.md Stan : Dad? What the hell is going on?
data/scripts/Are_You_There_God?_It's_Me,_Jesus.md Stan : What do you mean?
data/scripts/Red_Man's_Greed.md Stan runs up to Randy. Stan : Dad! Dad! Randy : Stanley. Did you have an inward journey with the old man? Did you have a vision?? Stan : Ah, I don't know if I did or not. I, I saw something, someone spoke to me and... told me the middle-class white way to cure SARS. [reaches into the bag and pulls
data/scripts/Christian_Rock_Hard.md Stan : What??
data/scripts/Coon_2:_Hindsight.md Stan : Who's Captain Hindsight?
data/scripts/The_Tooth_Fairy_Tats_2000.md he traces the line of succession] I do it just like my big brother before me, and my oldest brother before that. Stan : Damnit! And we thought we were so original! Loogie : Let me ask you something: You were gonna sneak a tooth under this rich kid's pillow? Then what? Stan : Well, uh-what do you
data/scripts/You_Got_F'd_in_the_A.md Jimbo : Boy. You must really wanna take to to those Orange County kids now, huh, Stan? Skeeter : Are you kiddin'? Stan is probably ready to pounce on them after what they did to his father! [looks over at his dad, then at the other men] Stan : I, I don't know. He seems all right. Mr. Garrison : I
data/scripts/You_Got_F'd_in_the_A.md at his dad, then at the other men] Stan : I, I don't know. He seems all right. Mr. Garrison : I could only imagine the rage building inside you, Stan. I bet you can't wait to out-dance those OC bastards! Randy : Stan? Stan? Stan : [walks to Randy's bedside] Yeah, I'm- I'm right here, Dad. Randy :
data/scripts/You_Got_F'd_in_the_A.md Jimbo : Boy. You must really wanna take to to those Orange County kids now, huh, Stan?

Skeeter : Are you kiddin'? Stan is probably ready to pounce on them after what they did to his father! [looks over at his dad, then at the other men]

Stan : I, I don't know. He seems all right."
What is the name of the character who is always silent and wears a hood?,Kenny McCormick.,"
data/scripts/Pinkeye.md Mr. Hat : Roar.

Scene Description : Kyle throws off his mask.

Kyle : Dammit!

Stan : Wendy?

Wendy : Hi, Stan.

Stan : You said we were going to be Raggedy Ann and Andy, remember?

Wendy : Yeahhh?

Stan : We were going to enter the costume contest as a pair.
data/scripts/Pinkeye.md costume this year Kyle. Mr. Hat : Roar. Scene Description : Kyle throws off his mask. Kyle : Dammit! Stan : Wendy? Wendy : Hi, Stan. Stan : You said we were going to be Raggedy Ann and Andy, remember? Wendy : Yeahhh? Stan : We were going to enter the costume contest as a pair. Wendy : I know, but
data/scripts/Pinkeye.md a Chewbacca mask on. Stan : Whoa, dude! Kyle : Everyone came as Chewbacca?! Scene Description : Mr. Garrison is in drag, Mr. Hat has a Chewbacca mask on. Mr. Garrison : It sure does seem to be a popular costume this year Kyle. Mr. Hat : Roar. Scene Description : Kyle throws off his mask. Kyle :
data/scripts/Free_Hat.md Townsfolk : Yeah! Woohoohoo!

Kyle : ...What? [a thin balding man with creepy appearance walks onstage and waves to everyone]

Townsfolk : Hat! Hat! Hat! Hat! Hat! Hat! Hat! Hat! Hat! Hat!
data/scripts/Pinkeye.md hoots. Scene Description : Bus Stop. Kyle is standing there with a Chewbacca mask on. Stan walks up; his costume consists of red yarn hair and big rosy cheeks. Kyle : Ha ha, you look like a pansy. Stan : Shut up Kyle! Kyle : What uh, what are you supposed to be? Stan : I'm Raggedy Andy. Kyle :
data/scripts/Tom's_Rhinoplasty.md Wendy : It's over. I give up.

Scene Description : She turns and walks away.

Scene Description : Day four, the center of town. Mr. Garrsion leans against a mailbox.

Mr. Garrison : Boy I'll tell you something Mr. Hat. Being hot and sexy is fun for a while, but it sure does get boring.
data/scripts/Summer_Sucks.md Mr. Twig, his new puppet which is a stick with a little purple shirt with a pink triangle on it. Mr. Garrison : Wow, it's a black blizzard! Kyle : Mr. Garrison, where's Mr. Hat? Mr. Garrison : Oh, I'm through with Mr. Hat. He's a two-timin' whore. From now on, children, you're all gonna be learning
data/scripts/Tom's_Rhinoplasty.md up. Scene Description : She turns and walks away. Scene Description : Day four, the center of town. Mr. Garrsion leans against a mailbox. Mr. Garrison : Boy I'll tell you something Mr. Hat. Being hot and sexy is fun for a while, but it sure does get boring. Mr. Hat : You can say that again, Mr.
data/scripts/Weight_Gain_4000.md Wendy hides. Mr. Garrison : Well, Mr. Hat, I guess ol' Kathie Lee really will be surprised when she gets here tomorrow. She beat us in the talent show all those years ago. And I think we owe her for that. Babang! Wendy : [Hushed.] Oh my God. Scene Description : Town Square. Mr. Garrison walks down
data/scripts/Douche_and_Turd.md coat and shirt. Herbert Garrison is first: he rips off a piece of Stan's coat, spits on it, and throws it back at Stan. He leaves and Officer Barbady steps forth, repeating what Herbert Garrison did. Craig follows suit, then Kyle steps up]"
Which character is known for his red hair and always gets bullied?,Eric Cartman.,"
data/scripts/Ginger_Kids.md who isn't actually red-haired and freckled. Joining me now is the gingers' head spokesperson, Eric Cartman.
data/scripts/Ginger_Kids.md a girl [shown in regular clothes and real hair] who isn't actually red-haired and freckled. Joining me now is the gingers' head spokesperson, Eric Cartman. Cartman : That's right! This is bullcrap! We True Gingers are furious that the role of Annie is being minimalized! Reporter : What harm do you
data/scripts/Ginger_Kids.md Reporter : What harm do you believe this actress is doing to the true red-haired community?

Cartman : The bitch isn't ginger! She's just using makeup to look ginger! And pretending to be ginger with makeup is the worst thing anybody can do!

Gingers : Yeah! That's right! [among other things]
data/scripts/Ginger_Kids.md What?! Cartman : Kids who have gingervitus cannot be cured. [another redheaded girls pops up] Ah sick! [another redhead] Gross! [another redhead] Yeck! [returns to his paper] Because their skin is so light, ginger kids must avoid the sun. Not unlike... [a picture of a vampire with a full moon and
data/scripts/Ginger_Kids.md Cartman : [walks up to the front of the class and turns around, looking at his paper] Thank you, Mrs. Garrison. [reads] My speech is entitled ""Ginger Kids: Children with red hair, light skin, and freckles."" [Stan and Kyle glance at each other] We've all seen them - on the playground, at the store,
data/scripts/Ginger_Kids.md Cartman : That's right! This is bullcrap! We True Gingers are furious that the role of Annie is being minimalized!

Reporter : What harm do you believe this actress is doing to the true red-haired community?
data/scripts/Ginger_Kids.md Cartman : Kids who have gingervitus cannot be cured. [another redheaded girls pops up] Ah sick! [another redhead] Gross! [another redhead] Yeck! [returns to his paper] Because their skin is so light, ginger kids must avoid the sun. Not unlike... [a picture of a vampire with a full moon and bats
data/scripts/Ginger_Kids.md A rapidly-growing organization called The Ginger Separatist Movement is furious that the lead role of Annie [shown, in character] is being played by a girl [shown in regular clothes and real hair] who isn't actually red-haired and freckled. Joining me now is the gingers' head spokesperson, Eric
data/scripts/Ginger_Kids.md Cartman : I was getting to that, if you will let me. [returns to his paper] Some people have red hair, but not light skin and freckles. These people are called ""daywalkers."" [cues up a picture of Kyle, with ""daywalkers"" written underneath]

Butters : Ho! Daywalkers!
data/scripts/Ginger_Kids.md about... ginger kids. [cues up his pics. A red-headed boy appears] Aww sick! Gross! Ginger kids are born with a disease which causes very light skin, red hair, and freckles. [next picture is of a girl licking her triple-scoop ice-cream cone] Aw, nasty! Yuck! [returns to his paper] This disease is"
Who is the school counselor in South Park?,Mr. Mackey.,"
data/scripts/South_ParQ_Vaccination_Special.md South Park Elementary, Mr. Mackey's office. Mr. Mackey : Think my life doesn't matter!? I show you what matters. [packing up his books] Counselors matter. That's what matters. Let's just see how your God damn school functions without a God damn counselor! [the sound of a motorcycle is heard
data/scripts/The_Death_Camp_of_Tolerance.md Description : South Park Elementary, Counselor Mackey's office. Mr. Mackey : Parents, I had to call you in here because your boys have refused to attend class with their homosexual teachers, m'kay? Stan : We're not staying in class another minute with those queermos! Randy : Well I really thought
data/scripts/Cherokee_Hair_Tampons.md building is shown. Inside, the South Park School Board is meeting. Principal Victoria is present among the three people seated around a horseshoe-shaped table. Chairman : Mr. Garrison, after very careful review the school board believes that you should take a... hiatus from teaching. Indefinitely.
data/scripts/World_Wide_Recorder_Concert.md Coordinator : Ssss, alright. South Park school, you go over there next to the kids from New York. [distracted by something away from the bus] Nono, don't put the Florida kids in the building! [moves away. The class walks past the New York children]
data/scripts/Insheeption.md Scene Description : South Park Elementary faculty room. Randy and Sharon are there with Mr. Garrison, Principal Victoria, Dr. Chinstrap, and another expert
data/scripts/The_Death_Camp_of_Tolerance.md Scene Description : South Park Elementary, Counselor Mackey's office.

Mr. Mackey : Parents, I had to call you in here because your boys have refused to attend class with their homosexual teachers, m'kay?

Stan : We're not staying in class another minute with those queermos!
data/scripts/World_Wide_Recorder_Concert.md with clipboard, walking up] School? Mr. Mackey : Excuse me? Coordinator : What school are you from? Mr. Mackey : Oh, uh we're from South Park, Colorado? Coordinator : Ssss, alright. South Park school, you go over there next to the kids from New York. [distracted by something away from the bus]
data/scripts/Insheeption.md I WILL RAPE YOU IN YOUR FUCKIN' MOUTH! M'KAY?! Scene Description : South Park Elementary faculty room. Randy and Sharon are there with Mr. Garrison, Principal Victoria, Dr. Chinstrap, and another expert Dr. Chinstrap : There's no doubt about it. The school counselor here is a Class-5 hoarder. As
data/scripts/The_Pandemic_Special.md has her hands over her mouth] Scene Description : South Park, night. The school gym is shown from above. Twenty-nine students are sleeping there, each in his own circle. Stan is wide awake, looking at the ceiling. An officer sits in the coach's office looking at a jar of Tegridy Weed Officer 4 :
data/scripts/Toilet_Paper.md Scene Description : South Park Elementary, next day. Officer Barbrady enters the principal's office."
